"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_CACTUS_WEAPON_DESC","Spike fires off a small cactus that explodes, shooting spikes in different directions.","يطلق سبايك صبارة صغيرة تتفجر إلى أشواك تطير في اتجاهات مختلفة.","斯派克扔出一个小仙人掌，仙人掌爆炸后会向不同方向发射尖刺。","史派克射出一個小仙人掌，仙人掌爆炸後會向不同方向發射尖刺。","Spike verschießt einen kleinen Kaktus, der explodiert und Nadeln in verschiedene Richtungen fliegen lässt.","Spike lanza un cactus pequeño que explota y lanza espinas en todas las direcciones.","Spike sinkoaa matkaan pienen kaktuksen, joka räjähtää ja ampuu piikkejä sinne sun tänne.","Spike lance un petit cactus qui explose et projette des épines de partout.","ספייק משליך קקטוס קטן שמתפוצץ ויורה קוצים לכל הכיוונים.","Spike melemparkan kaktus kecil yang meledak dan menembakkan duri ke berbagai arah.","Spike lancia un minicactus esplosivo che scaglia spine ovunque alla detonazione.","四方八方にトゲを飛ばして爆発する、小さなサボテンを投げつける。","폭발할 때 사방으로 가시가 튀어나오는 작은 선인장을 투척합니다.","Spike menembak kaktus kecil dan meletup, menembak menembak duri ke semua arah.","Spike vuurt een kleine cactus af die explodeert waardoor cactusnaalden in het rond vliegen.","Spike rzuca niewielkim kaktusem, który po wybuchu rozrzuca kolce w różnych kierunkach.","Spike atira um pequeno cacto que explode e lança espinhos em todas as direções.","Спайк бросает маленький кактус, который взрывается и осыпает всё вокруг иголками.","สไปค์ยิงตะบองเพชรเล็กๆ ที่ระเบิดกระจายหนามไปในทิศทางต่างๆ","Spike, patlayıp etrafa diken saçan küçük bir kaktüs fırlatır.","Spike ném một cây xương rồng nhỏ, cây này sẽ phát nổ và bắn các gai nhọn ra xung quanh."
"TID_ERROR_POP_UP_BANNED_TITLE","Account information!","معلومات الحساب","账号信息！","帳號資訊！","Spielkonto-Benachrichtigung!","Información de la cuenta","Tietoa pelitilistä","Infos du compte","מידע על החשבון!","Informasi Akun!","Informazioni sull'account","アカウント情報！","계정 정보","Maklumat akaun!","Accountinformatie!","Informacje o koncie!","Informações de conta!","Информация об учётной записи","ข้อมูลบัญชี!","Hesap bilgileri!","Thông tin tài khoản!"
"TID_STAT_DAMAGE_PER_SPIKE","Damage per spike","ضرر الشوكة الواحدة","每发尖刺伤害","每發尖刺傷害","Schaden pro Nadel","Daño por espina","Tuhovoima piikkiä kohti","Dégâts par épine","נזק מכל קוץ","Kerusakan per duri","Danni per spina","トゲのダメージ","가시당 피해량","Kerosakan setiap duri","Schade per naald","Obrażenia od kolca","Dano por espinho","Урон от шипа","ความเสียหายต่อหนาม","Diken Başına Hasar","Sát thương mỗi chiếc gai"
"TID_SPEC_ABI_SPEED","SLICK BOOTS","حذاء السرعة","大步流星","速度之靴","SCHICKE STIEFEL","BOTAS VELOCES","SUKKELAT SAAPPAAT","BOTTES NEUVES","מגפיים מבריקים","SEPATU BOT KILAT","STIVALI AERODINAMICI","すいすいブーツ","스피드 부츠","BUT LICIN","ZEVENMIJLSLAARZEN","NIEZŁE BUTY","BOTAS LIGEIRAS","МОДНЫЕ САПОГИ","พริ้วไหวว่องไว","YAYLI ÇİZMELER","ỦNG TỐC ĐỘ"
"TID_SPEC_ABI_FREEZE_DESC","Shelly's Super shells slow down enemies for <c00cc00><VALUE1></c> sec!","خرطوشة شيلي الفتاكة تبطئ الأعداء لمدة <c00cc00><VALUE1></c> ث!","雪莉的超级霰弹可降低敌人的移动速度，持续<c00cc00><VALUE1></c>秒！","雪莉的超級散彈可使敵人的移動速度降低，持續<c00cc00><VALUE1></c>秒。","Shellys Superschrot verlangsamt Gegner <c00cc00><VALUE1></c> Sek. lang!","Las Superbalas de Shelly ralentizan a los enemigos durante <c00cc00><VALUE1></c> segundos.","Shellyn superpanokset hidastavat vastustajia <c00cc00><VALUE1></c> sekunnin ajaksi.","La super chevrotine de Shelly ralentit les ennemis pendant <c00cc00><VALUE1></c> s.","הסופר-פגזים של שלי מאיטים את האויבים למשך <c00cc00><VALUE1></c> שניות!","Selongsong Super Shelly melambatkan pergerakan lawan selama <c00cc00><VALUE1></c> dtk!","I superpallettoni di Shelly rallentano i nemici per <c00cc00><VALUE1></c> secondi.","スーパーシェルが敵の動きを<c00cc00><VALUE1></c>秒間鈍らせる！","슈퍼 쉘이 <c00cc00><VALUE1></c>초 동안 적을 느리게 만듭니다!","Peluru Super Shelly memperlahankan musuh selama <c00cc00><VALUE1></c> saat!","De hulzen van Shelly's super vertragen vijanden <c00cc00><VALUE1></c> sec. lang.","Pociski superataku Shelly spowalniają wrogów na <c00cc00><VALUE1></c> s.","A Superbala da Shelly desacelera o inimigo por <c00cc00><VALUE1></c> segundos.","Супер Шелли замедляет врагов на <c00cc00><VALUE1></c> с.","ซูเปอร์กระสุนลูกปรายของ\nเชลลี่จะทำให้ศัตรูช้าลงเป็นเวลา <c00cc00><VALUE1></c> วินาที!","Shelly'nin süper fişekleri düşmanları <c00cc00><VALUE1></c> saniyeliğine yavaşlatır!","Siêu đạn vỏ sò của Shelly sẽ làm chậm kẻ địch trong <c00cc00><VALUE1></c> giây!"
"TID_SPEC_ABI_CACTUS_HEAL_DESC","Super heals for <c00cc00><VALUE1>%</c> of damage dealt.","يعالج الزخم نسبة <c00cc00><VALUE1>%</c> من الضرر الملحق.","超级技能还会治疗自己，治疗量为伤害的<c00cc00><VALUE1>%</c>。","超級技能還會治療自己，治療量為傷害的<c00cc00><VALUE1>%</c>。","Der Superskill heilt um <c00cc00><VALUE1> %</c> des verursachten Schadens.","Spike recupera un <c00cc00><VALUE1> %</c> del daño que inflige con el súper.","Parantaa itseään <c00cc00><VALUE1> %</c> superin tekemästä tuhosta.","Le super soigne à hauteur de <c00cc00><VALUE1> %</c> des dégâts infligés.","תכונת סופר שמרפאת <c00cc00><VALUE1>%</c> מהנזק שנגרם.","Super memberi penyembuhan <c00cc00><VALUE1>%</c> dari kerusakan yang diberikan.","La super converte in salute il <c00cc00><VALUE1>%</c> dei danni causati.","必殺技で与えたダメージの<c00cc00><VALUE1>％</c>分を回復する。","입힌 피해량의 <c00cc00><VALUE1>%</c>만큼 특수 공격으로 회복합니다.","Super menyembuhkan <c00cc00><VALUE1>%</c> daripada kerosakan yang diberikan.","De super geneest <c00cc00><VALUE1>%</c> van de toegebrachte schade.","Superatak leczy o <c00cc00><VALUE1>%</c> zadanych obrażeń.","O Super cura <c00cc00><VALUE1>%</c> do dano causado.","Супер восстанавливает здоровье в размере <c00cc00><VALUE1> %</c> от нанесённого урона.","ท่าไม้ตายรักษา <c00cc00><VALUE1>%</c> จากความเสียหายที่ทำได้","Süper, verilen hasarın <c00cc00>%<VALUE1></c> kadarı iyileştirir.","Tuyệt chiêu sẽ hồi máu dựa trên <c00cc00><VALUE1>%</c> lượng sát thương đã gây ra."
"TID_SPEC_ABI_STEAL_SOULS_DESC","Mortis reaps the life essence of Brawlers he defeats, restoring <c00cc00><VALUE1>%</c> of his max health.","يستنزف مورتيس صحة الأبطال الذين يهزمهم، مستعيدًا <c00cc00><VALUE1>%</c> من الحد الأقصى من صحته.","击败敌方英雄后，莫提斯能够获取对方的生命精华，为自己恢复最大生命值的<c00cc00><VALUE1>%</c>。","擊敗敵方英雄後，莫提斯能夠獲取對方的生命精華，為自己恢復最大生命值的<c00cc00><VALUE1>%</c>。","Mortis entzieht Brawlern, die er besiegt, Lebensessenz, wodurch er <c00cc00><VALUE1> %</c> seiner max. Trefferpunkte wiederherstellt.","Mortis recolecta las almas de los enemigos que derrota. Cada alma que recolecte le hará recuperar un <c00cc00><VALUE1> %</c> de sus puntos de salud máximos.","Mortis saa takaisin <c00cc00><VALUE1> %</c> maksimielinvoimastaan keräämällä elinvoimaa tyrmäämiltään rämäpäiltä.","Mortis récolte l'essence de vie des brawlers qu'il a vaincus, récupérant <c00cc00><VALUE1> %</c> de sa santé max.","מורטיס שואב את תמצית החיים של הבראולר שמביס ובכך מוסיף לעצמו <c00cc00>%<VALUE1></c> מהבריאות המקסימלית שלו.","Mortis mencuri energi kehidupan dari Jagoan yang dia tumbangkan dan memulihkan <c00cc00><VALUE1>%</c> dari kesehatan maksimum.","Mortis miete le anime dei brawler che sconfigge, recuperando così il <c00cc00><VALUE1>%</c> dei suoi punti salute massimi.","倒した敵の魂を刈り取ることで、自身の最大HPの<c00cc00><VALUE1>％</c>を回復する。","자신이 처치한 브롤러의 영혼을 흡수해 최대 HP의 <c00cc00><VALUE1>%</c>를 회복합니다.","Mortis menghisap nilai nyawa brawler yang dikalahkannya dan memulihkan <c00cc00> <VALUE1>% </c> nilai nyawa maksimum dirinya.","Mortis oogst de levenskracht van de knokkers die hij verslaat en herstelt zo <c00cc00><VALUE1>%</c> van zijn maximale gezondheid.","Mortis wysysa energię z pokonanych Zadymiarzy, odzyskując <c00cc00><VALUE1>%</c> maks. pkt. życia.","Mortis ceifa a essência vital dos Brawlers que derrota, recuperando <c00cc00><VALUE1>%</c> da saúde total.","Мортис похищает жизненную силу побеждённых им врагов, что восстанавливает <c00cc00><VALUE1> %</c> от его максимального запаса здоровья.","มอร์ติสเกี่ยวเก็บเอสเซนส์แห่งชีวิตของบรอว์เลอร์ที่เขาเอาชนะ และฟื้นฟูพลังชีวิตให้เขา <c00cc00><VALUE1>%</c> ของพลังชีวิตสูงสุด","Mortis, yok ettiği savaşçıların ruhunu çalar ve tam sağlığının <c00cc00>%<VALUE1></c> kadarı iyileşir.","Mortis thu thập sinh mệnh của Chiến binh Brawl mà hắn đánh bại để phục hồi <c00cc00><VALUE1>%</c> của lượng máu tối đa."
"TID_SPEC_ABI_SPEED_DESC","Colt's movement speed is increased by <c00cc00><VALUE1>%</c>.","تتم زيادة سرعة تحرك كولت بنسبة <c00cc00><VALUE1>%</c>.","柯尔特脚底生风，移动速度提升<c00cc00><VALUE1>%</c>。","柯爾特腳底生風，移動速度提升<c00cc00><VALUE1>%</c>。","Colts Bewegungstempo wird um <c00cc00><VALUE1> %</c> erhöht.","La velocidad de movimiento de Colt aumenta en un <c00cc00><VALUE1> %</c>.","Coltin liikkumisnopeus kasvaa <c00cc00><VALUE1> %</c>.","La vitesse de déplacement de Colt augmente de <c00cc00><VALUE1> %</c>.","מהירות התנועה של קולט מוגדלת ב-<c00cc00><VALUE1>%</c>.","Kecepatan pergerakan Colt meningkat sebanyak <c00cc00><VALUE1>%</c>.","La velocità di movimento di Colt aumenta del <c00cc00><VALUE1>%</c>.","移動速度が<c00cc00><VALUE1>％</c>増加する。","이동 속도가 <c00cc00><VALUE1>%</c> 증가합니다.","Kelajuan pergerakan Colt meningkat sebanyak <c00cc00><VALUE1>%</c>.","Colt verplaatst zich <c00cc00><VALUE1>%</c> sneller.","Colt porusza się o <c00cc00><VALUE1>%</c> szybciej.","A velocidade de locomoção de Colt aumenta em <c00cc00><VALUE1>%</c>.","Кольт движется на <c00cc00><VALUE1> %</c> быстрее обычного.","ความเร็วในการเคลื่อนที่ของโคลท์เพิ่มขึ้น <c00cc00><VALUE1>%</c>","Colt'un hareket hızı <c00cc00>%<VALUE1></c> artar.","Tốc độ di chuyển của Colt tăng <c00cc00><VALUE1>%</c>."
"TID_SHOP_CHINA_WARNING","Warning: enjoy responsibly","تنبيه: استمتع بالمحتوى بمسؤولية","请适度娱乐理性消费","","Achtung: Bitte verantwortungsvoll genießen!","Importante: Disfruta con responsabilidad.","Varoitus: nauti kohtuudella.","Avertissement : jouez avec modération","אזהרה: צריך ליהנות באחריות","Peringatan: Nikmati dengan bijak","Gioca responsabilmente","警告：自己責任でお楽しみください","경고: 게임은 즐겁고 올바르게 이용하세요!","Amaran: main dengan bertanggungjawab","Waarschuwing: geniet met mate","Ostrzeżenie: prosimy o rozważne korzystanie","Aviso: aprecie com moderação!","Внимание: играйте ответственно","คำเตือน: สนุกอย่างรับผิดชอบ","Uyarı: Lütfen bilinçli oynayınız.","Cảnh báo: trải nghiệm vui vẻ và có chừng mực."
