"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DIGGER_ULTI_DESC","Moe gets into his trusty Driller, drilling to targeted location, dealing damage and knocking brawlers up at the destination. He gains a new attack in his Driller form.","يركب مو آلة الحفر المتينة ويحفر للوصول إلى الموقع المستهدف، فيلحق الضرر بالأبطال ويطيح بهم في الهواء عند وصوله إلى وجهته. يكتسب مو هجومًا جديدًا في هيئته كحفار.","阿萌跳进他可靠的工程钻机，钻到目标位置，将该处的敌人击飞并造成伤害。在钻机内，阿萌会获得新的攻击方式。","莫跳進他可靠的工程鑽地機，鑽到目標位置，將該處的敵人擊飛並造成傷害。在鑽地機內，莫會獲得新的攻擊方式。","Moe steigt in seinen treuen Bohrer, bohrt sich zum Zielort, verursacht Schaden und stößt Brawler am Zielort in die Höhe. Er erhält einen neuen Angriff, wenn er im Bohrer sitzt.","Moe se sube en Dora, crea un túnel subterráneo hacia un punto del campo de batalla y, cuando emerge, inflige daño y lanza por los aires a los brawlers que se encuentren en la zona. Cuando está a bordo de Dora, Moe obtiene un nuevo ataque.","Moe hyppää rakkaan poransa kyytiin ja kaivautuu valitulle alueelle aiheuttaen samalla tuhoa ja heittää perillä vastustajia ilmaan. Hän saa poran kyydissä ollessaan myös uuden hyökkäyksen.","Moe grimpe dans sa fidèle foreuse et fore jusqu'à la destination choisie, infligeant des dégâts et projetant les brawlers dans les airs quand il ressort de terre. Dans la foreuse, il gagne une nouvelle attaque.","מו נכנס לדרילר – מכונת הקידוח הנאמנה שלו – קודח אל יעד ספציפי, גורם נזק ומכסח שם בראולרים. הוא זוכה להתקפה חדשה כשהוא בדמות הדרילר שלו.","Moe masuk ke Mesin Bor kesayangannya, mengebor ke lokasi yang ditargetkan, menimbulkan kerusakan, dan menumbangkan jagoan di destinasi. Dia mendapatkan serangan baru dalam mode Mesin Bor","Moe crea un tunnel sotterraneo con Nella e raggiunge un altro punto dell'arena, danneggiando e scaraventando in aria i nemici nel punto di uscita. Quando si trova a bordo di Nella, ottiene un nuovo attacco.","自慢の「ドリラー」で地中に潜って別の場所に移動し、敵を上方に弾き飛ばしてダメージを与える。ドリラーに乗っている間は通常攻撃が変化する。","자신의 든든한 드릴러를 타고 목표한 장소로 드릴을 뚫으며 이동해 브롤러를 위로 밀쳐내고 피해를 줍니다. 모가 드릴러 안에 있을 때는 새로운 일반 공격을 합니다.","Moe melompat ke dalam gerudi yang dipercayainya, menggerudi ke lokasi sasaran, melakukan kerosakan dan menewaskan brawler di destinasi. Dia mendapat serangan baharu dalam bentuk gerudi.","Moe kruipt in zijn vertrouwde Driller en boort naar de aangegeven locatie. Bij bovenkomst stoot hij knokkers omhoog en brengt hij ze schade toe. Hij krijgt een nieuwe aanval in zijn Driller-vorm.","Moe uzbraja się w niezawodne Wiertło, którym świdruje przez ziemię do obranej na cel lokalizacji, rażąc i wyrzucając znajdujących się tam Zadymiarzy w powietrze. W formie Wiertła Zadymiarz zyskuje nowy atak.","Moe entra em sua fiel escavadeira e cava um túnel para um novo local, lançando Brawlers pelos ares e causando dano. Na escavadeira, ele ganha um ataque novo.","Мо прыгает в свой верный дырокоп и бурит тоннель под землёй, нанося урон по пути, а также подбрасывая противников при выходе на поверхность. Находясь в дырокопе, Мо получает новую атаку.","โมกระโดดเข้าสว่านคู่ใจแล้วขุดลงใต้ดินไปยังตำแหน่งเป้าหมาย สร้างความเสียหายและกระแทกศัตรูในพื้นที่เป้าหมายขึ้นไปในอากาศ เขาจะได้รับการโจมตีใหม่เมื่ออยู่ในสถานะสว่าน","Moe sadık delicisine biner, hedefindeki konuma gider ve vardığı yerdeki savaşçıları devirip onlara hasar verir. Delici formundayken  yeni bir saldırı kazanır.","Moe nhảy vào Máy khoan và khoan đến vị trí mục tiêu, gây sát thương và hất tung đối thủ lên không trung tại đích đến. Moe sẽ có đòn tấn công mới khi đang ở trong Máy khoan."
"TID_DIGGER_SP_2_DESC","Moe´s Driller has increased travel speed while drilling underground.","تزيد سرعة تنقل حفار مو خلال الحفر تحت الأرض.","阿萌的钻机在地下时，移动速度会提升。","莫的鑽地機在地下時，移動速度會加快。","Moes Bohrer bewegt sich schneller fort, wenn er unterirdisch bohrt.","Dora, la excavadora de Moe, se mueve más rápido al avanzar bajo tierra.","Moen pora liikkuu nopeammin maan alla.","La foreuse de Moe se déplace plus rapidement sous terre.","הדרילר של מו מאיץ את מהירות התנועה שלו בזמן חפירותיו התת-קרקעיות.","Kecepatan pergerakan Mesin Bor milik Moe meningkat selama menggali di bawah tanah.","La trivella di Moe si muove più velocemente mentre scava sottoterra.","ドリラーでの潜行速度が上昇する。","지하에 있는 동안 모의 드릴러가 더 빠르게 이동합니다.","Kelajuan perjalanan gerudi Moe meningkat semasa menggerudi di bawah tanah.","Moe's Driller beweegt sneller tijdens het ondergronds boren.","Wiertło Moego ma większą prędkość ruchu podczas wiercenia pod ziemią.","Enquanto estiver no subterrâneo, a escavadeira do Moe é mais veloz.","Дырокоп двигается ещё быстрее, когда находится под землёй.","สว่านของโมจะมีความเร็วในการเดินทางเพิ่มขึ้นในขณะที่อยู่ใต้ดิน","Moe'nin delicisi yer altını kazarken hareket hızı artar.","Máy khoan của Moe tăng tốc độ di chuyển khi đang khoan dưới lòng đất."
"TID_DIGGER_GADGET_2","RAT RACE","سباق الفئران","全速前进","全速前進","RATTENRENNEN","ACELERÓN","ROTTARALLI","ATTAQUE EN RAT","מרוץ עכברושים","GALI GILA","TURBO SPACCAMURI","ラットレース","치열한 경주","PERLUMBAAN TIKUS","RATRACE","WYŚCIG SZCZURÓW","RATO RÁPIDO","КРЫСИНЫЕ БЕГА","ล้อวิ่งหนู","HIZLI FARE","CUỘC ĐUA CHUỘT"
"TID_DIGGER_GADGET_2_DESC","Moe dashes a short distance in his Driller, destroying walls in the process.","يندفع مو لمسافة قصيرة بحفاره مدمرًا الجدران في طريقه.","阿萌驾驶钻机冲刺一小段距离，途中可以摧毁墙壁。","莫駕駛鑽地機衝鋒一小段距離，可以摧毀途中的牆壁。","Moe prescht mit seinem Bohrer eine kurze Strecke nach vorn und durchbohrt dabei Wände.","Moe pisa el acelerador de su excavadora, avanza una distancia corta y destruye los muros a su paso.","Moe tekee lyhyen syöksyn poransa kyydissä ja tuhoaa tielleen osuvat muurit.","Moe se rue en avant dans sa foreuse, détruisant les murs sur son chemin.","מו עובר מרחק קצר בדרילר שלו, ותוך כדי כך הורס קירות.","Moe melaju jarak dekat dalam Mesin Bor sembari menghancurkan tembok.","Moe scatta in avanti per un breve tratto a bordo di Nella, distruggendo i muri che trova sul suo cammino.","ドリラーに搭乗中、前方へ短距離ダッシュを行って壁を破壊する。","드릴러로 짧은 거리를 돌진해 경로상의 벽을 파괴합니다.","Moe memecut dalam jarak yang singkat di dalam gerudi dan memusnahkan benteng di sepanjang jalan.","Moe sprint een korte afstand in zijn Driller en vernietigt alle muren die hij tegenkomt.","Moe pędzi na krótką odległość w Wiertle, niszcząc napotkane na drodze ściany.","Moe sai em disparada com a sua escavadeira a uma curta distância, destruindo qualquer parede no caminho.","Мо делает небольшой рывок вперёд в своём дырокопе, разрушая стены по пути.","โมพุ่งไปข้างหน้าเป็นระยะสั้นๆ เมื่ออยู่ในสว่าน และจะทำลายกำแพงที่อยู่ในเส้นทาง","Moe, delicisindeyken kısa bir mesafe ileri atılır ve önüne çıkan duvarları yıkar.","Moe điều khiển Máy khoan xông về phía trước một khoảng ngắn và phá hủy tường chắn trên đường đi."
"TID_DIGGER_DRILL_WEAPON","GIGA DRILL BREAK","الحفار العملاق المدمر","破天钻头","破天鑽頭","GIGA-BOHREINSATZ","GIGAPERFORADORA","PYÖRREPORA","CREUX PROFOND","מגה-קידוח","MATA BOR GIGA","LAVORI IN CORSO","ギガドリルアタック","파괴의 기가 드릴","GERUDI PENGHANCUR GIGA","GIGA-BOORBREKER","WIERTŁOTARAN","MEGAESCAVADEIRA","ГИГАДРЕЛЬ","สว่านยักษ์เจาะทำลาย","GİGA DELİCİ","MŨI KHOAN SIÊU CẤP"
"TID_DIGGER_DRILL_WEAPON_DESC","Moe starts drilling in front of him, gaining movement speed and dealing damage to enemies in front of him.","يبدأ مو في الحفر أمامه ليحصل على سرعة تحرك، ويلحق الضرر بالأعداء أمامه.","阿萌将身前钻头开到最大功率，提升移动速度，并可对前方敌人造成伤害。","莫將身前鑽頭開到最大功率，提升移動速度，並可對前方敵人造成傷害。","Moe bohrt sich nach vorn, gewinnt an Bewegungstempo und fügt Gegnern vor ihm Schaden zu.","Moe comienza a excavar, obtiene velocidad de movimiento e inflige daño a los enemigos que se encuentren frente a él.","Moe lähtee poraamaan suoraan eteenpäin kasvavalla nopeudella, ja pora vahingoittaa Moen edessä olevia vastustajia.","Moe fore devant lui, augmentant sa vitesse de déplacement et infligeant des dégâts aux ennemis en face de lui.","מו מתחיל לקדוח לפניו, צובר מהירות תנועה וגורם נזק לאויבים שמולו.","Moe mulai mengebor di depannya, meraih kecepatan gerakan, dan menimbulkan kerusakan kepada lawan di depan.","Moe scava un tunnel davanti a sé, muovendosi più velocemente e danneggiando i nemici che si trova di fronte.","ドリルを回転させて攻撃し、前方の敵にダメージを与える。さらに移動速度も上昇する。","전방을 드릴로 뚫기 시작해 이동 속도가 증가하고 전방의 적에게 피해를 줍니다.","Moe mula menggerudi, mendapat kelajuan pergerakan dan melakukan kerosakan kepada musuh di depan dia.","Moe begint met voor zich uit te boren, waarbij hij bewegingssnelheid wint en schade toebrengt aan vijanden op zijn pad.","Moe zaczyna wiercić przed siebie, zyskując szybkość ruchu i zadając obrażenia znajdującym się przed nim wrogom.","Moe começa a perfurar para frente, ganhando velocidade de movimento e causando dano aos inimigos que estiverem no caminho.","Мо начинает бурить перед собой, набирая скорость и нанося урон врагам на пути.","โมจะเจาะลงไปในพื้นที่ด้านหน้า เพิ่มความเร็วในการเคลื่อนที่และสร้างความเสียหายให้กับศัตรูที่อยู่ด้านหน้า","Moe önündeki alanı delmeye başlayarak hareket hızı kazanır ve önündeki düşmanlara hasar verir.","Moe bắt đầu khoan về phía trước, tăng tốc độ di chuyển và gây sát thương cho đối thủ trước mặt cậu ta."
"TID_DIGGER_DRILL_ULTI","BAIL OUT","الخروج","紧急脱险","緊急脫離","AUSGEBOHRT","EXTRACCIÓN","PAKOMATKA","ÇA SUFFIT","חוזר לעצמו","TERJUN KELUAR","ESTRAZIONE","脱出","탈출","BERUNDUR","OVERBOORD","EWAKUACJA","SALTAR FORA","ПЕШЕХОД","พักเครื่อง","AYRILIŞ","CHUỒN NGAY"
"TID_DIGGER_DRILL_ULTI_DESC","Moe exits his Driller and returns to his normal form.","يخرج مو من حفاره ويرجع إلى هيئته العادية.","阿萌离开钻机，自己上场。","莫離開鑽地機，自己上場。","Moe verlässt seinen Bohrer und nimmt wieder seine normale Gestalt an.","Moe se baja de la excavadora y sigue peleando a pie.","Moe hyppää poransa kyydistä ja palaa tavalliseen olomuotoonsa.","Moe quitte sa foreuse et reprend sa forme normale.","מו יוצא מהדרילר שלו וחוזר לצורתו הרגילה.","Moe keluar dari Mesin Bor dan kembali ke bentuk normal.","Moe salta fuori dalla trivella e torna alla sua forma originale.","ドリラーから降り、通常の徒歩移動に戻る。","모가 드릴러에서 나와 일반 형태로 되돌아옵니다.","Moe keluar dari Gerudi dan kembali ke bentuk asal.","Moe verlaat zijn Driller en keert terug naar zijn normale vorm.","Moe opuszcza Wiertło i wraca do normalnej formy.","Moe sai da escavadeira e retorna para a sua forma normal.","Мо покидает дырокоп и продолжает сражаться как обычно.","โมออกจากสว่านและกลับสู่สถานะปกติ","Moe, delicisinden çıkarak normal formuna geri döner.","Moe rời khỏi Máy khoan và trở về trạng thái bình thường."
"TID_SAMURAI_DESC","This highly skilled sushi chef has a wholesome life running his restaurant in Starr Park, but it feels like he's trying to hide something about his past... though his sushi tastes so good, nobody cares!","يعيش طاهي السوشي صاحب البارع هذا حياة هادئة ويدير مطعمه في Starr Park، لكن يبدو أنه يحاول إخفاء شيء ما عن ماضيه... ولأن طعم السوشي الذي يحضره لذيذ للغاية، لا أحد يهتم بذلك الماضي.","健次是位技艺高超的寿司大厨。他在星妙乐园开了家寿司餐厅，过着幸福美满的生活。不过，人们总觉得他在努力隐藏自己的过去......不管了，反正他做的寿司超好吃！","賢治是位技藝高超的壽司師傅。他在美好星樂園經營壽司店，過著幸福美滿的生活。不過，他似乎在努力隱藏自己的過去......但也沒人在乎，因為他做的壽司超好吃的啦！","Dieser hochqualifizierte Sushimeister führt ein erfülltes Leben und betreibt ein Restaurant im Starr Park. Es scheint allerdings, als ob er einen Teil seiner Vergangenheit verschweigt. Sein Sushi ist jedoch so lecker, dass dies niemanden wirklich kümmert!","Este talentoso cocinero cambió la katana por los cuchillos de cocina y ahora regenta un tranquilo restaurante de sushi en Starr Park. Parece que oculta algo sobre su pasado, ¡pero su sushi es tan delicioso que a nadie le importa!","Tämä taidokas sushikokki pyörittää tuiki tavallista sushiravintolaa Starr Parkissa, mutta vaikuttaa siltä, että hänen menneisyydessään on jotain salattavaa... Vaan mitä väliä, jos sushi kerran on maukasta!","Ce chef sushi talentueux mène une vie modeste et tient un restaurant de sushis à Starr Park. Mais on dirait qu'il cache quelque chose sur son passé. Ses sushis sont bons, mais tout le monde s'en moque, de ça !","הסושי-שף המוכשר הזה מנהל חיים טובים ובריאים בתור מנהל מסעדת סושי בפארק סטארר, אבל נדמה כאילו הוא מנסה להסתיר משהו על עברו... אם כי הסושי שלו כל כך טעים אז למי אכפת!","Ingin memulai lembaran baru, chef sushi ini membuka restoran sushi di Starr Park. Meski sushi buatannya sangat enak, kadang ada sedikit rasa getir masa lalu kelam yang bisa dirasakan lidah yang sensitif!","Questo abilissimo chef gestisce un ristorante di sushi nel cuore dello Starr Park e sembra avere un passato turbolento che vuole nascondere a tutti i costi... Ma il suo sushi è talmente delizioso che a nessuno importa un granché!","熟練の寿司職人。現在はスターパークで寿司屋を経営しながら幸せな日々を送っているが、周囲には語れない過去があるようだ... でも職人技の極上握りを味わえるんだから、余計な詮索は無用だね！","뛰어난 솜씨의 초밥 요리사로서 현재 스타 파크에서 초밥집을 운영하며 평탄한 삶을 살고 있습니다. 하지만 자신의 과거에 대해선 좀처럼 드러내길 꺼립니다... 하지만 실은 켄지의 초밥이 너무 맛있어서 그의 과거 같은 건 아무도 신경 쓰지 않아요.","Cef susyi yang berkemahiran tinggi ini mengendalikan restoran susyi di Starr Park tetapi rasanya dia seakan cuba menyembunyikan sesuatu tentang masa lalunya... tiada orang peduli asalkan susyi dia sedap!","Deze getalenteerde sushi-chef leidt een rustig leven in Starr Park, waar hij een restaurant runt. Het voelt alsof hij iets uit zijn verleden probeert te verbergen... maar zijn sushi is zo lekker dat niemand erom geeft!","Ten utalentowany mistrz sushi wiedzie spokojne życie i razem ze swoją rodziną prowadzi restaurację w Parku Starr. Wygląda jednak na to, że próbuje ukryć coś ze swojej przeszłości. Jego sushi jest jednak tak smaczne, że nikt się tym nie przejmuje!","Este samurai trocou a catana pelos utensílios de cozinha para cuidar do restaurante de sushi no Starr Park. Parece que ele está escondendo algo sobre o seu passado, mas seus sushis são tão deliciosos que ninguém se importa!","Кэндзи держит суши-ресторан в парке Старр. Он подозрительно мало рассказывает о своём прошлом, но так хорошо готовит суши, что посетителям всё равно...","เชฟซูชิมือฉมังมีชีวิตดี๊ดีกับกิจการร้านอาหารใน Starr Park แต่ดูเหมือนว่าเขาพยายามปิดบังอดีตของเขาไว้ แต่เพราะฝีมือปั้นซูชิที่อร่อยขั้นเทพ จึงไม่มีใครสนใครแคร์เรื่องราวเก่าๆ ของเขา!","Bu son derece becerikli suşi şefi, Starr Park'ta kendi restoranını işleterek hayatın tadını doyasıya çıkarıyor. Ancak geçmişiyle ilgili sakladığı bir şeyler var gibi... Aman canım, suşileri lezzetli olduktan sonra kimin umurunda?","Chàng đầu bếp sushi xuất sắc này có cuộc sống bình dị và sở hữu một nhà hàng ở Công viên Starr. Có vẻ như anh ta luôn muốn che giấu quá khứ... nhưng không ai quan tâm vì tay nghề làm sushi của anh ta quá đỉnh!"
