"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_RAID_BOSS_DIFFICULTY_PREFIX","DIFFICULTY: <LEVEL>","الصعوبة: <LEVEL>","难度：<LEVEL>级","難度：<LEVEL>級","SCHWIERIGKEITSGRAD: <LEVEL>","DIFICULTAD: <LEVEL>","VAIKEUSTASO: <LEVEL>","DIFFICULTÉ : <LEVEL>","רמת קושי: <LEVEL>","KESULITAN: <LEVEL>","DIFFICOLTÀ: <LEVEL>","難易度：<LEVEL>","난이도: <LEVEL>","KESUKARAN: <LEVEL>","MOEILIJKHEID: <LEVEL>","TRUDNOŚĆ: <LEVEL>","DIFICULDADE: <LEVEL>","СЛОЖНОСТЬ: <LEVEL>","ความยาก: <LEVEL>","ZORLUK: <LEVEL>","ĐỘ KHÓ: <LEVEL>"
"TID_COLLAB_8","KATANA KINGDOM","مملكة الكاتانا","刀剑国度","刃之國","KATANAKÖNIGREICH","REINO DE LAS KATANAS","KATANAMAA","ROYAUME DU KATANA","ממלכת קטאנה","KERAJAAN KATANA","IL REGNO DELLE KATANE","刀の王国","검의 왕국","KERAJAAN KATANA","KATANAKONINKRIJK","KRÓLESTWO KATANY","REINO DAS KATANAS","ЦАРСТВО КАТАНЫ","อาณาจักรคาตานะ","KATANA KRALLIĞI","VƯƠNG QUỐC KATANA"
"TID_CARNIVAL_MANDY_SKIN_SHOP","CARNAVAL\nMANDY","ماندي\nالكرنفالية","狂欢曼迪","狂歡曼蒂","KARNEVALS-\nTÄNZERIN MANDY","MANDY\nCARNAVAL","KARNEVAALI-\nMANDY","MANDY\nCARNAVAL","מנדי\nקרנבל","MANDY\nKARNAVAL","MANDY\nREGINA DEL CARNEVALE","カーニバル\nマンディ","카니발 맨디","MANDY\nKARNIVAL","CARNAVAL-\nMANDY","KARNAWAŁOWA\nMANDY","MANDY\nCARNAVALESCA","КАРНАВАЛЬНАЯ\nМЭНДИ","แมนดี้\nนักเต้นคาร์นิวัล","KARNAVAL\nMANDY","MANDY\nLỄ HỘI CARNAVAL"
"TID_COLLAB_KATANA_SKIN_COLLECTION_COMPLETE_REWARD_GET","Get this special Event Spray!","احصل على بخاخ الحدث الخاص هذا!","获取这款特别活动喷漆！","獲取這款特別活動噴漆！","Hol dir dieses Sonderereignis-Spray!","¡Consigue este spray especial del evento!","Saat tämän erikoistapahtuman sprayn!","Obtenez ce tag spécial d'événement !","קבלו ספריי אירוע מיוחד זה!","Dapatkan Cat dari Acara spesial ini!","Ottieni questo graffito dell'evento speciale!","特別イベントスプレーを入手！","이 특별 이벤트 스프레이를 받으세요!","Dapatkan semburan acara istimewa ini!","Haal deze speciale evenementenspray!","Zdobądź specjalny sprej wydarzenia!","Obtenha o spray do evento especial!","Получи особый спрей события!","รับสเปรย์อีเวนท์พิเศษนี้!","Etkinliğe özel bu spreyi kaçırma!","Nhận Sơn xịt của Sự kiện đặc biệt này ngay nào!"
"TID_DAILY_STREAK_BUTTON_RESET_STREAK","RESET STREAK","إعادة ضبط السلسلة","重置","重置","SERIE ZURÜCKSETZEN","REINICIAR RACHA","NOLLAA PUTKI","RÉINITIALISER","אפסו רצף","RESET RANTAI","INTERROMPI","連続記録をリセット","연속 출석 초기화","SET SEMULA BERTURUTAN","REEKS RESETTEN","ZRESETUJ PASSĘ","REINICIAR SÉRIE","СБРОСИТЬ СЕРИЮ","รีเซ็ตการเล่นติดต่อกัน","SERİYİ SIFIRLA","ĐẶT LẠI CHUỖI"
"TID_TILE_BATTLEPASSPLUS_SEASON39","Unstoppable","لا يُقهر","无人能挡","無人能擋","Unaufhaltbar","Imparable","Pysäyttämätön","Irrésistible","בלתי ניתן לעצירה","Tak Terhentikan","Inarrestabile","アンストッパブル","파죽지세","Tidak Terhalang","Onhoudbaar","Nie do zatrzymania","Imbatível","Неудержимый","เกินต้านทาน","Durdurulamaz","Bất khả chiến bại"
"TID_DAILY_STREAK_LOST_TITLE_SHORT","LOST","خسارة","签到中断","簽到中斷","VERLOREN","ROTA","KATKI","PERDUE","הפסד","PUTUS","INTERROTTA","継続失敗","실패","HILANG","VERLOREN","UTRACONA","PERDIDA","ПРЕРВАНА","สูญเสีย","BOZULDU","BỊ ĐỨT"
"TID_SOUL_COLLECTOR_OVERCHARGE_DESC","On impact, Gus' Super will drop spirits in all directions that deal damage to enemies and heal teammates!","سيطلق زخم جاس أرواحًا في كل الاتجاهات عند الإصابة، لتلحق الضرر بالأعداء وتعالج زملاء الفريق.","格斯的超级技能命中时，会向四面八方散落灵体，可对敌人造成伤害、为友军提供治疗！","格斯的超級技能命中時，會向四面八方散落靈體，可對敵人造成傷害、為友軍提供治療！","Ein Treffer von Gus‘ Superskill sendet in alle Richtungen Geister aus, die Gegnern Schaden zufügen und Teamkameraden heilen!","Cuando impacta, el súper de Gus genera espíritus en todas las direcciones que curan a los aliados e infligen daño a los enemigos.","Gusin super pudottaa osuessaan henkiä joka suuntaan. Ne vahingoittavat vastustajia ja parantavat joukkuekavereita!","À l'impact, le super de Gus lâche des esprits dans toutes les directions, infligeant des dégâts aux ennemis et soignant les alliés !","עם פגיעתה, תכונת הסופר של גאס תפיל רוחות לכל הכיוונים שיגרמו נזק לאויבים וירפאו את חברי הקבוצה!","Saat mengenai target, kekuatan Super Gus akan menebarkan roh ke segala arah. Roh ini memberi kerusakan pada lawan dan memberikan penyembuhan ke rekan tim!","All'impatto, la super di Gus manda in tutte le direzioni degli spiriti in grado di causare danni ai nemici e di curare gli alleati.","必殺技が命中するとゴーストが全方向に解き放たれ、敵にダメージを与えて味方を回復する。","적중하면 거스의 특수 공격이 사방으로 유령을 떨어뜨려 적에게 피해를 입히고 팀원을 치유합니다!","Apabila terkena impak, Super Gus akan jatuhkan roh ke semua arah, melakukan kerosakan terhadap musuh dan sembuhkan rakan sepasukan!","Gus' super laat bij impact geesten los in alle richtingen, die vijanden beschadigen en teamgenoten genezen!","Superatak Gusa przy impakcie wypuszcza na wszystkie strony duchy, które zadają wrogom obrażenia i uleczają sojuszników.","Ao acertar, o Super gera espíritos em todas as direções, causando dano a inimigos e curando aliados.","При попадании Супер Гаса выпускает во все стороны призраков, которые наносят урон врагам и лечат союзников.","เมื่อยิงโดนเป้าหมาย กัสจะปล่อยดวงวิญญาณออกมาทุกทิศทาง ซึ่งจะสร้างความเสียหายให้กับศัตรูและเยียวยาเพื่อนร่วมทีม!","Gus'ın süperi isabet ettiğinde, dört bir yanda düşmanlara hasar veren ve takım arkadaşlarını iyileştiren ruhlar çağırır!","Khi đánh trúng mục tiêu, Tuyệt chiêu của Gus sẽ tạo ra các linh hồn bay khắp nơi, những linh hồn này sẽ gây sát thương cho kẻ địch và hồi máu cho đồng đội!"
"TID_GEISHA_DESC","Kaze was raised to be a living weapon by her parents, but this was not the life she wanted. After escaping to Starr Park with Kenji, she can now live how she wants. However, she is still torn between the two aspects of her life, being a humble geisha and a deadly ninja.","تربت كازي لتكون سلاح أبويها الحي، لكن لم تكن هذه الحياة التي تنشدها. بعد مساعدة كينجي لها على الهرب إلى Starr Park، أصبح بإمكانها الآن الحياة كما تريد. إلا أنها ما زالت في صراع بين جانبي حياتها: الجيشا المتواضعة والنينجا المميتة.","风姬从小被家里当成人形兵器培养，但这不是她想要的人生。和健次一起逃到星妙乐园之后，她过上了理想的新生活，但依然被自己分裂的两面所困扰：低调的艺伎，危险的忍者。","小風從小被父母當成人形兵器培養，但這不是她想要的生活。和賢治一起逃到美好星樂園之後，她開始了新的生活，但依然被自己分裂的兩面所困擾：低調的藝伎，危險的忍者。","Kaze wurde von ihren Eltern zu einer lebendigen Waffe erzogen, doch dieses Leben hatte sie sich nie gewünscht. Nach der Flucht mit Kenji zum Starr Park kann sie nun nach ihren Wünschen leben. Dennoch fühlt sie sich zwischen zwei Welten hin- und hergerissen: der bescheidenen Geisha und der tödlichen Ninja.","Los padres de Kaze la criaron para ser un arma viviente, pero ese nunca fue su deseo, así que decidió escaparse a Starr Park con Kenji y vivir a su manera. Sin embargo, sigue atrapada en una disyuntiva vital: ser una humilde geisha o una ninja letal.","Vanhemmat kasvattivat Kazen eläväksi aseeksi, mutta hän itse ei halunnut sellaista elämää. Hän karkasi Starr Parkiin Kenjin kanssa ja elää nyt omannäköistään elämää. Tilanne on kuitenkin yhä kahtia jakautunut: hän on sekä vaatimaton geisha että taidoiltaan verraton ninja.","Kaze a été entraînée par ses parents pour devenir une arme vivante, mais ce n'est pas la vie dont elle rêve. Elle s'est réfugiée à Starr Park avec Kenji pour enfin mener la vie qu'elle veut. En revanche, elle est toujours tourmentée par les deux aspects de sa vie : être une humble geisha ou une ninja mortelle.","קייז חונכה על ידי הוריה להיות נשק מהלך, אבל אלה לא החיים שהיא רצתה. כעת, אחרי שברחה לפארק סטארר עם קנג'י, היא יכולה לחיות כמו שהיא רוצה. עם זאת, היא עדיין נקרעת בין שני ההיבטים של חייה - בין גיישה צנועה לנינג'ה קטלנית.","Dibesarkan orang tuanya untuk menjadi senjata, Kaze tidak menginginkan kehidupan seperti itu. Setelah kabur ke Starr Park bersama Kenji, gadis ini akhirnya bisa hidup mengikuti kata hatinya. Namun, dia kadang masih bimbang memilih jalan hidup; menjadi geisha yang rendah hati atau ninja yang mematikan.","Kaze è stata addestrata dai suoi genitori per diventare un sicario infallibile, ma non era la vita che desiderava per se stessa ed è per questo che è fuggita allo Starr Park insieme a Kenji. Ora è un'umile geisha, ma non riesce a scrollarsi di dosso il suo passato da ninja letale.","「人間兵器」として両親に育てられたカゼ。しかし、それは彼女の望む生き方ではなかった。ケンジと共にスターパークへ逃れ、ようやく自分らしい人生を歩み始めることができたが、心の葛藤はまだ消えていない。しとやかな芸者と冷酷な忍... 2つの生き様の狭間で揺れ動いている。","부모님에 의해 인간 병기로 길러졌지만, 그것은 카제가 원하던 삶이 아니었습니다. 켄지와 함께 스타 파크로 탈출한 그녀는 이제 비로소 자신이 선택한 삶을 살 수 있게 되었죠. 하지만 여전히 순종적인 게이샤와 치명적인 닌자라는 두 모습 사이에서 갈등하고 있습니다.","Kaze dibesarkan sebagai senjata oleh ibu bapanya, tetapi ini bukan kehidupan yang dia inginkan. Selepas melarikan dari Starr Park bersama Kenji, dia kini menjalani hidup idaman dia. Namun, dia masih berbelah bagi di antara dua aspek kehidupannya, geisha yang rendah diri dan ninja yang kejam.","Kaze werd door haar ouders opgevoed als een levend wapen, maar dat was niet het leven dat ze wilde. Na haar ontsnapping naar Starr Park met Kenji kan ze eindelijk leven zoals zij dat wil. Toch blijft ze verscheurd tussen twee kanten van haar bestaan: een nederige geisha en een dodelijke ninja.","Rodzice Kaze wychowali ją na chodzącą broń, ale to nie było życie, które sobie wymarzyła. Po ucieczce do parku Starr z Kenjim może żyć tak, jak chce. Jest jednak rozdarta między dwiema formami swojej osobowości: skromną gejszą i zabójczą wojowniczką ninja.","Kaze foi criada por seus pais para ser uma arma implacável, mas não por vontade própria. Ela fugiu para o Starr Park com Kenji e agora pode fazer suas próprias escolhas. Mesmo assim, vive dividida entre ser uma gueixa ou uma ninja mortal.","С детства родители готовили Кадзэ стать живым оружием, но она всегда мечтала о другой жизни. Сбежав в парк Старр вместе с Кэндзи, она наконец-то обрела свободу. Однако Кадзэ до сих пор разрывается между двумя сторонами своей натуры — скромной гейшей и смертоносной ниндзя.","คาเซะได้รับการเลี้ยงดูจากพ่อแม่ให้เก่งกาจเยี่ยงอาวุธที่มีชีวิต แต่ทว่านี่ไม่ใช่ชีวิตที่เธอต้องการ หลังจากหลบหนีมายัง Starr Park กับเคนจิ ในที่สุดตอนนี้เธอก็ได้ใช้ชีวิตอย่างที่ใจปรารถนา อย่างไรก็ตามเธอยังตัดใจเลือกไม่ได้ระหว่างโลกสองใบ ด้านหนึ่งที่เธอเป็นเกอิชาผู้อ่อนน้อม และอีกด้านที่เธอเป็นนินจาทักษะร้ายกาจ","Kaze, ailesi tarafından yaşayan bir silah olarak yetiştirilse de istediği hayat bu değilmiş. Kenji ile birlikte Starr Park'a kaçıp istediği gibi yaşamaya başlamış. Ama aynı anda hem mütevazı bir geyşa ve hem de ölümcül bir ninja olmak kolay değil.","Kaze được ba mẹ huấn luyện từ nhỏ để trở thành một sát thủ lạnh lùng, nhưng cô đã cùng Kenji trốn đến Công viên Starr để sống cuộc sống mà cô ấy muốn. Tuy nhiên, cô ấy vẫn chưa thể lựa chọn giữa cuộc sống của một nàng geisha khiêm tốn và một ninja nguy hiểm."
